antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'OMNI TOURS COLOMBIA LTDA'}),frozenset({'ANDINA'}),0.005640856897443239,0.5312020580580923,0.003422974526403056,0.6068181818181818,1.1423490790613995,1.0,0.0004265397332700225,1.1923184650545628,0.12531774009190041,0.006417035185541242,0.16129790042777042,0.3066310047500466
frozenset({'PRICE RES S.A.S.'}),frozenset({'ANDINA'}),0.11249236133961804,0.5312020580580923,0.058929861072532015,0.5238565567542927,0.9861719261204438,1.0,-0.0008263127868876619,0.9845729235422673,-0.015553533218099233,0.10077536374863891,-0.01566880023698966,0.3173966827052104
frozenset({'Panama City'}),frozenset({'ANDINA'}),0.010029614498711576,0.5312020580580923,0.0061322951877507935,0.6114188325521943,1.1510099090868535,1.0,0.0008045433245059226,1.2064350545369051,0.1325269430960488,0.011460105257273374,0.17111161828445545,0.31148150911226624
frozenset({'Punta Cana'}),frozenset({'ANDINA'}),0.025264201498245778,0.5312020580580923,0.017029405103266143,0.6740527740189446,1.2689197336378357,1.0,0.0036090092722036466,1.4382633278466834,0.21742105793985175,0.031568857342036884,0.3047170287674898,0.3530555089273356
frozenset({'SERVINCLUIDOS LTDA'}),frozenset({'ANDINA'}),0.03578525428726491,0.5312020580580923,0.020836983509040327,0.5822784810126582,1.0961525321292716,1.0,0.0018277827835130357,1.1222738610124456,0.09097372242997905,0.038152469034373214,0.10895189245710298,0.3107522890562668
frozenset({'SOLARIS MAYORISTA DE TURISMO'}),frozenset({'ANDINA'}),0.012072288435816023,0.5312020580580923,0.008709141179537364,0.7214159292035398,1.3580819544276799,1.0,0.002296316716960985,1.682788038101511,0.2668893777100401,0.01629200908131615,0.4057480934270363,0.36890554313843377
frozenset({'San Andrés'}),frozenset({'ANDINA'}),0.07694214275641327,0.5312020580580923,0.047225083010337295,0.6137739516800889,1.1554434746052256,1.0,0.006353258426731026,1.213791622758707,0.1457454037740365,0.0841923220502975,0.1761353586151807,0.35133812422506516
frozenset({'Santa Marta'}),frozenset({'ANDINA'}),0.05066087766605273,0.5312020580580923,0.02911024029195708,0.5746098692534796,1.0817161954418486,1.0,0.0021990778127206276,1.1020423560819583,0.07957441012017458,0.05266413087175681,0.09259386040727599,0.3147052805500735
frozenset({'TOUR VACATION GROUP HOTELES AZUL S.A.S'}),frozenset({'ANDINA'}),0.01747383625276167,0.5312020580580923,0.012324417645625986,0.7053069210075813,1.3277563787797841,1.0,0.003042279865988883,1.5908006511207142,0.2512399116930538,0.02297824874511991,0.3713857237262865,0.3642539592769695
frozenset({'UNIVERSAL TRAVEL ASISTANCE'}),frozenset({'ANDINA'}),0.006157935446375536,0.5312020580580923,0.0033930608913408573,0.5510062456627342,1.037281835234298,1.0,0.00012195290883729518,1.0441079356078655,0.036164555849599066,0.0063544401050003195,0.04224461294050636,0.27869688012190247
frozenset({'ASSIST CARD DE COLOMBIA'}),frozenset({'Mujer'}),0.07460887922156174,0.5769100924331323,0.04216967868482567,0.5652099203849018,0.9797192453352918,1.0,-0.0008729367232179208,0.9730900666855413,-0.02188009686086221,0.06920444344703772,-0.0276541033926254,0.3191528376155811
frozenset({'ASSIST UNO ASISTENCIA AL VIAJERO S.A.S'}),frozenset({'Mujer'}),0.011294533924198848,0.5769100924331323,0.006461345173434983,0.5720771850170261,0.9916227719370911,1.0,-5.45854367637235e-05,0.9887061235183301,-0.008472115048586476,0.011106866864513855,-0.011422885135454053,0.2916385510273388
frozenset({'AVIANCA'}),frozenset({'Mujer'}),0.26595358258513635,0.5769100924331323,0.15341848748114373,0.5768618944323933,0.999916454918416,1.0,-1.28184309699797e-05,0.9998860939251162,-0.00011381099454018752,0.22252456069668702,-0.0001139190509557268,0.42139662895188756
frozenset({'Bogotá'}),frozenset({'CARIBE'}),0.01070908135226724,0.237663830569171,0.004320383578269026,0.4034317637669593,1.697489108043061,1.0,0.001775222282212316,1.277869191032547,0.41534253701164114,0.01770267904044826,0.21744728880115047,0.21080515635979
frozenset({'Bogotá'}),frozenset({'Mujer'}),0.01070908135226724,0.5769100924331323,0.005918626365877944,0.5526735833998404,0.9579891054928961,1.0,-0.00025955074693248276,0.9458191867641129,-0.04244635948803689,0.010174696228383363,-0.05728453598118835,0.2814663833325748
frozenset({'Bogotá'}),frozenset({'PRICE RES S.A.S.'}),0.01070908135226724,0.11249236133961804,0.006102381552688595,0.5698324022346368,5.065520853583068,1.0,0.0048976917035939834,2.063167108054654,0.811274943884967,0.05211298445368952,0.5153082869070683,0.31203973857363204
frozenset({'CARIBE'}),frozenset({'Mujer'}),0.237663830569171,0.5769100924331323,0.15613635489536637,0.6569630495369954,1.138761582010531,1.0,0.01902569243369362,1.2333654056678554,0.15984163376344313,0.23713160132140007,0.18921027344811103,0.46380274461131366
frozenset({'CIC COLOMBIA TRAVEL S.A.S'}),frozenset({'Mujer'}),0.01637557850833522,0.5769100924331323,0.008901443119222929,0.543580375782881,0.9422271908787686,1.0,-0.0005457933916667573,0.9269757151493636,-0.05867818507783258,0.015232175502742229,-0.07877691255252567,0.2795049455599022
frozenset({'COPA AIRLINES'}),frozenset({'Mujer'}),0.038340733396864196,0.5769100924331323,0.02183268021896781,0.5694382523406153,0.9870485190144546,1.0,-0.0002864758289711951,0.9826462983924249,-0.013460897395756656,0.036791393017628765,-0.017660170944484434,0.30364120822895907
frozenset({'CRUCERO POR EL CARIBE'}),frozenset({'Mujer'}),0.006388697773998214,0.5769100924331323,0.003337506997653916,0.5224080267558527,0.9055276265883723,1.0,-0.0003481972256707401,0.8858815291491136,-0.0950220897253997,0.005754706554176031,-0.12881911079069103,0.26409658454406587
frozenset({'Cancun'}),frozenset({'Mujer'}),0.02643083326567154,0.5769100924331323,0.013764545505048994,0.5207760711398545,0.9026988398546969,1.0,-0.0014836689573342835,0.8828647362689193,-0.09967941964468112,0.02334650092414743,-0.13267634204771492,0.27231757683258456
frozenset({'SOLARIS MAYORISTA DE TURISMO'}),frozenset({'Cancun'}),0.012072288435816023,0.02643083326567154,0.005046857572636716,0.41805309734513274,15.816871649222712,1.0,0.004727776929854568,1.6729518832265682,0.9482236014041479,0.15084940605441308,0.40225417716657075,0.3044994670234152
frozenset({'EASYFLY S.A.'}),frozenset({'Mujer'}),0.007743358104672082,0.5769100924331323,0.004563966035204075,0.5894039735099338,1.0216565479451196,1.0,9.674459529485958e-05,1.0304286458483392,0.021362904242390235,0.00786769310103503,0.02953008533966716,0.29865751301032795
frozenset({'EMPRESA AEREA DE SERVICIOS Y FACILITACION LOGISTICA INTEGRAL'}),frozenset({'Mujer'}),0.006675013995307832,0.5769100924331323,0.0036921972419628473,0.5531370038412292,0.9587923856702879,1.0,-0.00015868569906264587,0.946800051030727,-0.04147303981843533,0.0063670329184445,-0.05618921219042748,0.2797684782170865
frozenset({'Eje Cafetero'}),frozenset({'Mujer'}),0.01760203754588538,0.5769100924331323,0.011555209886883726,0.6564700169944162,1.1379069730358469,1.0,0.0014004167792755276,1.2315952857017163,0.1233650145483761,0.019821721792165143,0.18804495956621176,0.338249749128759
frozenset({'RUBIELA ROMERO BARRERO Y/O PARQUE DEL CAFE'}),frozenset({'Eje Cafetero'}),0.004559692658766618,0.01760203754588538,0.0032135790809676634,0.7047797563261481,40.03966895814832,1.0,0.0031333191995903554,3.327678177582668,0.9794909462120646,0.1695985566080289,0.699490171033777,0.4436741704670313
frozenset({'Entre 18 y 24 Años'}),frozenset({'Mujer'}),0.011461195605259671,0.5769100924331323,0.0070852581333037045,0.6181953765846384,1.0715627698197903,1.0,0.0004731787172791383,1.1081319649358783,0.06755784744021354,0.012188935857379159,0.09758040410118064,0.3152383835464284
frozenset({'Entre 25 y 32 Años'}),frozenset({'Mujer'}),0.06668176593007902,0.5769100924331323,0.04031075993453187,0.6045244809023327,1.0478660173073695,1.0,0.0018413761882054916,1.069825784746946,0.04894313527475574,0.0668191992746437,0.06526836961913596,0.33719901869725344
frozenset({'Entre 33 y 43 Años'}),frozenset({'Mujer'}),0.1478160909716376,0.5769100924331323,0.09071950839077464,0.6137322925701071,1.0638265834138492,1.0,0.005442913685222914,1.0953281867179072,0.07040401544821338,0.14308920073873366,0.08703162017911095,0.38549148980102754
frozenset({'Entre 43 y 54 Años'}),frozenset({'Mujer'}),0.21010055254757337,0.5769100924331323,0.13771382907348925,0.6554662869927794,1.1361671352087714,1.0,0.016504699883016533,1.2280072793863304,0.15172539185104716,0.2120968803475056,0.1856725796448634,0.4470878149432679
frozenset({'Entre 55 y 66 Años'}),frozenset({'Mujer'}),0.24652253992401937,0.5769100924331323,0.16139260791343849,0.654676882540563,1.1347988033619716,1.0,0.01917126661902191,1.2252000696610341,0.15765106269851167,0.24378074127625515,0.18380677183877275,0.46721518292404707
frozenset({'Entre 67 y 78 Años'}),frozenset({'Mujer'}),0.16209344164918144,0.5769100924331323,0.10983004781908233,0.6775724341567583,1.1744853193659346,1.0,0.016316705414448532,1.3122014132394813,0.17730284746391137,0.17456242231595248,0.237921869378831,0.4339744008696103
frozenset({'FAST COLOMBIA S.A.S'}),frozenset({'Mujer'}),0.01977718615255099,0.5769100924331323,0.011392821582260359,0.5760587726879861,0.9985243458966792,1.0,-1.6836709075098225e-05,0.9979918920588499,-0.001505382397721099,0.01946511101538372,-0.0020121485526374467,0.29790338727731946
frozenset({'GRUPO WELCOME S.A.'}),frozenset({'Mujer'}),0.012025281295003996,0.5769100924331323,0.006675013995307832,0.5550817341862118,0.9621633274695215,1.0,-0.00026249214812733984,0.950938498317225,-0.03827957814647244,0.011463967765847356,-0.05159271789878525,0.2833260094253849
frozenset({'GRUPO WELCOME S.A.'}),frozenset({'San Andrés'}),0.012025281295003996,0.07694214275641327,0.010401398248770335,0.8649609097370291,11.241705504295084,1.0,0.009476147338684111,6.8354863428511905,0.9221344521790427,0.13239053576285012,0.8537046305350551,0.5000727903308861
frozenset({'Menores de 18 Años'}),frozenset({'Hombre'}),0.010833009268953493,0.3220672885853842,0.00857239313353874,0.7913214990138068,2.457006740701694,1.0,0.005083435211066554,3.2486945622609675,0.5994950449680887,0.026431253705777723,0.6921840509056542,0.40896913790485473
frozenset({'IBERIA'}),frozenset({'Mujer'}),0.006666467242432919,0.5769100924331323,0.003739204382774874,0.5608974358974359,0.9722441039847949,1.0,-0.00010674785025954975,0.9635332201522827,-0.027936967612161093,0.006448712468493434,-0.037846935720549306,0.28368943468414953
frozenset({'JETSMART AIRLINES S.A.S.'}),frozenset({'Mujer'}),0.005512655604319529,0.5769100924331323,0.003256312845342233,0.5906976744186045,1.0238990133234154,1.0,7.600619110222865e-05,1.033685569623597,0.023470567255507686,0.005622412915317017,0.03258783000701377,0.29817103852632953
frozenset({'MAS HOTELES S.A.S'}),frozenset({'Mujer'}),0.008803155461161418,0.5769100924331323,0.005209245877260082,0.5917475728155339,1.025718878170122,1.0,0.00013061664645821515,1.0363438877381062,0.02529669367022147,0.008973660576257713,0.035069331877307,0.3003885677797568
frozenset({'MAS HOTELES S.A.S'}),frozenset({'Santa Marta'}),0.008803155461161418,0.05066087766605273,0.00454259915301679,0.5160194174757281,10.185757555904067,1.0,0.004096623571123647,1.9615231614924082,0.9098331012062837,0.08271086212262682,0.4901921019177982,0.3028431123650256
frozenset({'Madrid'}),frozenset({'Mujer'}),0.00817496912485524,0.5769100924331323,0.004059707615584149,0.49660219550444323,0.8607965123473771,1.0,-0.0006565145778740901,0.8404683210544319,-0.14019000258552153,0.00698714365567356,-0.18981283999547238,0.25181959020783307
